run_id,model_name,task_subtype,count,quality_score,end_to_end_score,ok_rate,overall_end_to_end_score,macro_depth_end_to_end_score,reliability_ok_rate,estimated_cost_usd
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,condition_role_identification,92,0.6760869565217391,0.6760869565217391,1.0,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,immediate_precursor_prediction,210,0.45333333333333387,0.45333333333333387,1.0,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,immediate_precursor_with_disconnection,210,0.25619047619047663,0.25619047619047663,1.0,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,mechanistic_classification,76,0.4776315789473682,0.4776315789473682,1.0,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,reaction_center_identification,76,0.9039473684210523,0.9039473684210523,1.0,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,reagent_role_identification,112,0.7607142857142859,0.7607142857142859,1.0,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,reference_route_planning,137,0.6080882352941174,0.603649635036496,0.9927007299270073,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,route_design,13,0.8769230769230771,0.8769230769230771,1.0,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_nosgr_20260411_gpt54_tools_spectrum,gpt-5.4,transformation_classification,64,0.8718749999999996,0.8718749999999996,1.0,0.5661403508771929,0.5755132275132273,0.998989898989899,22.020326
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,condition_role_identification,92,0.6902173913043478,0.6902173913043478,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,immediate_precursor_prediction,210,0.46761904761904827,0.46761904761904827,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,immediate_precursor_with_disconnection,210,0.2752380952380955,0.2752380952380955,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,mechanistic_classification,76,0.6460526315789469,0.6460526315789469,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,reaction_center_identification,76,0.9539473684210522,0.9539473684210522,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
